tags,count
#ModiMadeDisaster,27
#BlunderBhakto,1
#coronavirus,3
#ModiRT,4
#ModiMadeDisasRT,6
#ArrestKejariwalRT,1
#ModiMadeDisasterTo,1
#MannKiBaat,1
#ModiMadeDisasterRT,6
#ModiMadeDisasterA,1
#COVID2019india,1
#Covid19,1
#NationFirst,1
#Coronavirus,1
#RT,2
#CoronaLockdown,1
#Panic8PM,1
#Bihar,1
#MannKiBaatRT,1
#MigrantsO#ModiMadeDisaster,1
#DeclareEmergency,2
#TrumptheWorstPresidentEVER,3
#DeclareEmergencyRT,1
#modimadedRT,1
#Politics,1
#ModiMadeDisasterHe,1
#FailureOfIntelligence,1
#economiccrisis,1
#COVID2019,1
#CoronaUpdate,1
#ChinaVruvikassr43856548,1
#NIL,1
#ModiMadeDisasWAKhan337,1
#KejriwalIsASanke,1
